Channel,Fear_BetaAlpha,Flow_ThetaAlpha
Fp1.,1.7766990291262135,4.116504854368932
Fp2.,1.5436241610738255,3.5123042505592843
Fpz.,1.5766262403528115,3.472987872105844
Af7.,1.9150943396226416,3.8018867924528306
Af3.,1.9223300970873785,3.6893203883495143
Afz.,1.8018867924528303,2.6320754716981134
Af4.,1.7168338907469345,2.5752508361204014
Af8.,1.7825537294563842,3.2996207332490513
F7..,2.075675675675676,2.735135135135135
F5..,2.0258620689655173,2.5775862068965516
F3..,1.915983606557377,2.581967213114754
F1..,1.9666666666666668,2.5083333333333333
Fz..,1.9152542372881354,2.5677966101694913
F2..,1.9150943396226416,2.4716981132075477
F4..,1.8938605619146722,2.4245577523413115
F6..,1.9640564826700897,2.336328626444159
F8..,1.824212271973466,2.8855721393034823
